DomainName,IDN,TLD,DomainType,Status,IPv4
200networks.noveltysoft.com,200networks.noveltysoft.com,com,SUB_DOMAIN,ACTIVE,45.79.26.48
360onboarding-dev.noveltysoft.com,360onboarding-dev.noveltysoft.com,com,SUB_DOMAIN,ACTIVE,206.225.82.228
360onboarding.noveltysoft.com,360onboarding.noveltysoft.com,com,SUB_DOMAIN,ACTIVE,104.237.143.243
accounts.drcollectible.com,accounts.drcollectible.com,com,SUB_DOMAIN,ACTIVE,23.227.38.32
accounts.tcpaas.com,accounts.tcpaas.com,com,SUB_DOMAIN,ACTIVE,66.228.54.106
accounts.voicealerts.com,accounts.voicealerts.com,com,SUB_DOMAIN,ACTIVE,45.79.48.171
aclmanager.hungrytext.com,aclmanager.hungrytext.com,com,SUB_DOMAIN,ACTIVE,45.79.43.247
admin.didyoubuy.com,admin.didyoubuy.com,com,SUB_DOMAIN,ACTIVE,176.58.114.85
aegeawestgyrospizza.hungrytext.com,aegeawestgyrospizza.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
afarmerskitchen.hungrytext.com,afarmerskitchen.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
agent.tcpaas.com,agent.tcpaas.com,com,SUB_DOMAIN,ACTIVE,173.255.195.211
agents.cloudsips.com,agents.cloudsips.com,com,SUB_DOMAIN,ACTIVE,74.208.236.247
agents.tcpaas.com,agents.tcpaas.com,com,SUB_DOMAIN,ACTIVE,45.56.65.81
agents.voicealerts.com,agents.voicealerts.com,com,SUB_DOMAIN,ACTIVE,194.195.219.91
aiordering.com,aiordering.com,com,ON_DOMAIN,ACTIVE,74.208.236.33
airwayspizza.hungrytext.com,airwayspizza.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
ajpizza.hungrytext.com,ajpizza.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
alfredospizza.hungrytext.com,alfredospizza.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
analytics.voicealerts.com,analytics.voicealerts.com,com,SUB_DOMAIN,ACTIVE,173.213.236.228
angeloaandalspizzeria.hungrytext.com,angeloaandalspizzeria.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
angelospizza.hungrytext.com,angelospizza.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
anthonysplace.hungrytext.com,anthonysplace.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
api-bluetone.tcpaas.com,api-bluetone.tcpaas.com,com,SUB_DOMAIN,ACTIVE,35.196.142.112
api-mash.tcpaas.com,api-mash.tcpaas.com,com,SUB_DOMAIN,ACTIVE,35.243.166.167
api.didyoubuy.com,api.didyoubuy.com,com,SUB_DOMAIN,ACTIVE,176.58.114.85
api.poppricetrend.com,api.poppricetrend.com,com,SUB_DOMAIN,ACTIVE,139.162.224.151
apidocs-bluetone.tcpaas.com,apidocs-bluetone.tcpaas.com,com,SUB_DOMAIN,ACTIVE,34.75.221.19
apidocs-mash.tcpaas.com,apidocs-mash.tcpaas.com,com,SUB_DOMAIN,ACTIVE,35.237.242.252
astro.onboardsoft.com,astro.onboardsoft.com,com,SUB_DOMAIN,ACTIVE,45.56.71.44
auntbellas.hungrytext.com,auntbellas.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
avellinos.hungrytext.com,avellinos.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
avid-dev.tcpaas.com,avid-dev.tcpaas.com,com,SUB_DOMAIN,ACTIVE,34.74.172.82
avid-devapi.tcpaas.com,avid-devapi.tcpaas.com,com,SUB_DOMAIN,ACTIVE,104.154.80.41
avid-rec.voicealerts.com,avid-rec.voicealerts.com,com,SUB_DOMAIN,ACTIVE,35.229.26.206
baristaverace.hungrytext.com,baristaverace.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
bartolinospizzamenu.hungrytext.com,bartolinospizzamenu.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
basilbrickoven.hungrytext.com,basilbrickoven.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
bellapizza.hungrytext.com,bellapizza.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
bellerosefamouspizza.hungrytext.com,bellerosefamouspizza.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
bennyshs.hungrytext.com,bennyshs.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
bennyskosherpizza.hungrytext.com,bennyskosherpizza.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
bghk.hungrytext.com,bghk.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
bib.hungrytab.com,bib.hungrytab.com,com,SUB_DOMAIN,ACTIVE,74.208.236.247
bibeastvillage.hungrytext.com,bibeastvillage.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
bid.hungryautomation.com,bid.hungryautomation.com,com,SUB_DOMAIN,ACTIVE,
bigjohnspizza.hungrytext.com,bigjohnspizza.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
blackironburger.hungrytext.com,blackironburger.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
bleufinedining.hungrytext.com,bleufinedining.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
blocktele.com,blocktele.com,com,ON_DOMAIN,ACTIVE,74.208.236.85
blog.patterngrp.com,blog.patterngrp.com,com,SUB_DOMAIN,ACTIVE,
bluetone.noveltysoft.com,bluetone.noveltysoft.com,com,SUB_DOMAIN,ACTIVE,172.104.35.110
bluetone.tcpaas.com,bluetone.tcpaas.com,com,SUB_DOMAIN,ACTIVE,34.75.49.237
bocconcininy.hungrytext.com,bocconcininy.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
bombayxpressindiancuisine.hungrytext.com,bombayxpressindiancuisine.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
bostonpizzabroadway.hungrytext.com,bostonpizzabroadway.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
brotherspizza.hungrytext.com,brotherspizza.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
builder.noveltysoft.com,builder.noveltysoft.com,com,SUB_DOMAIN,ACTIVE,66.226.76.250
buttoncorner.noveltysoft.com,buttoncorner.noveltysoft.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
cafechilithaikitchen.hungrytext.com,cafechilithaikitchen.hungrytext.com,com,SUB_DOMAIN,ACTIVE,206.225.81.111
