DomainName,Error
ablackberry.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
cateringguy.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
didyou.net,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
didyoucall.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
didyoucook.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
didyoudance.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
didyoudate.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
didyoudrive.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
didyouinvest.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
didyoulearn.com,"(None, '[Errno 2] No such file or directory')"
didyoulisten.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
didyoulive.com,"(None, '[Errno 2] No such file or directory')"
didyoulove.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
didyouread.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
didyousell.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
didyoushop.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
didyoutalk.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
didyoutaste.com,"(None, '[Errno 2] No such file or directory')"
didyoutravel.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
didyouvote.org,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
didyouwatch.com,"(None, '[Errno 2] No such file or directory')"
eyedots.com,"(None, '[Errno 2] No such file or directory')"
facedots.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
goaliecamp.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
guglietta.com,"(None, '[Errno 2] No such file or directory')"
iajsl.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
johnnydrain.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
johnnydrains.com,"(None, '[Errno 2] No such file or directory')"
lukolic.com,"(None, '[Errno 2] No such file or directory')"
nadiakhattak.com,"(None, '[Errno 2] No such file or directory')"
ninoguglietta.com,"(None, '[Errno 2] No such file or directory')"
nycomedians.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
premiersoccercamp.com,"(None, '[Errno 2] No such file or directory')"
soniaguglietta.com,"(None, '[Errno 2] No such file or directory')"
sophiaguglietta.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
topbagels.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
utopiabagels.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
videodots.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
aegeawestgyrospizza.hungrytext.com,Connection Timed out
afarmerskitchen.hungrytext.com,Connection Timed out
agents.cloudsips.com,"(None, '[Errno 2] No such file or directory')"
aiordering.com,"(None, '[Errno 2] No such file or directory')"
airwayspizza.hungrytext.com,Connection Timed out
ajpizza.hungrytext.com,Connection Timed out
alfredospizza.hungrytext.com,Connection Timed out
analytics.voicealerts.com,Connection Timed out
angeloaandalspizzeria.hungrytext.com,Connection Timed out
angelospizza.hungrytext.com,Connection Timed out
anthonysplace.hungrytext.com,Connection Timed out
api-mash.tcpaas.com,Connection Timed out
api.poppricetrend.com,Connection Timed out
apidocs-mash.tcpaas.com,Connection Timed out
auntbellas.hungrytext.com,Connection Timed out
avellinos.hungrytext.com,Connection Timed out
avid-dev.tcpaas.com,Connection Timed out
avid-devapi.tcpaas.com,Connection Timed out
avid-rec.voicealerts.com,Connection Timed out
baristaverace.hungrytext.com,Connection Timed out
bartolinospizzamenu.hungrytext.com,Connection Timed out
basilbrickoven.hungrytext.com,Connection Timed out
bellapizza.hungrytext.com,Connection Timed out
bellerosefamouspizza.hungrytext.com,Connection Timed out
bennyshs.hungrytext.com,Connection Timed out
bennyskosherpizza.hungrytext.com,Connection Timed out
bghk.hungrytext.com,Connection Timed out
bib.hungrytab.com,"(None, '[Errno 2] No such file or directory')"
bibeastvillage.hungrytext.com,Connection Timed out
bigjohnspizza.hungrytext.com,Connection Timed out
blackironburger.hungrytext.com,Connection Timed out
bleufinedining.hungrytext.com,Connection Timed out
blocktele.com,"(None, '[Errno 2] No such file or directory')"
bocconcininy.hungrytext.com,Connection Timed out
bombayxpressindiancuisine.hungrytext.com,Connection Timed out
